order,index,discussion_path,discussion_url,model_id,is_hidden,length,is_non_english,contains_question_run_1,contains_question_run_2,contains_question_run_3,contains_question_final_class
51,7137,gfodor@segmind-vega-fp16-onnx\discussion_1.yaml,https://huggingface.co/gfodor/segmind-vega-fp16-onnx/discussions/1,gfodor/segmind-vega-fp16-onnx,False,83,False,yes,yes,yes,yes
52,6527,facebook@tts_transformer-es-css10\discussion_2.yaml,https://huggingface.co/facebook/tts_transformer-es-css10/discussions/2,facebook/tts_transformer-es-css10,False,314,False,no,no,no,no
53,565,Aladlyco@Bestfamilyandcriminallawyerinegypt\discussion_1.yaml,https://huggingface.co/Aladlyco/Bestfamilyandcriminallawyerinegypt/discussions/1,Aladlyco/Bestfamilyandcriminallawyerinegypt,False,860,False,no,no,no,no
54,22940,Yntec@Dreamsphere\discussion_2.yaml,https://huggingface.co/Yntec/Dreamsphere/discussions/2,Yntec/Dreamsphere,False,153,False,no,no,no,no
56,9578,justinpinkney@miniSD\discussion_3.yaml,https://huggingface.co/justinpinkney/miniSD/discussions/3,justinpinkney/miniSD,False,380,False,yes,yes,yes,yes
57,17451,stabilityai@stable-diffusion-xl-base-1.0\discussion_119.yaml,https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0/discussions/119,stabilityai/stable-diffusion-xl-base-1.0,False,584,False,yes,yes,yes,yes
58,9853,Kooten@Noromaid-7B-0.4-DPO-4bpw-exl2\discussion_1.yaml,https://huggingface.co/Kooten/Noromaid-7B-0.4-DPO-4bpw-exl2/discussions/1,Kooten/Noromaid-7B-0.4-DPO-4bpw-exl2,False,751,False,no,no,no,no
59,32,01-ai@Yi-34B\discussion_6.yaml,https://huggingface.co/01-ai/Yi-34B/discussions/6,01-ai/Yi-34B,False,643,False,yes,yes,yes,yes
60,2164,bigscience@bloomz\discussion_38.yaml,https://huggingface.co/bigscience/bloomz/discussions/38,bigscience/bloomz,False,610,False,yes,yes,yes,yes
61,7929,hearmeneigh@e621-rising-v3\discussion_1.yaml,https://huggingface.co/hearmeneigh/e621-rising-v3/discussions/1,hearmeneigh/e621-rising-v3,False,208,False,yes,yes,yes,yes
62,16674,SG161222@Realistic_Vision_V5.1_noVAE\discussion_1.yaml,https://huggingface.co/SG161222/Realistic_Vision_V5.1_noVAE/discussions/1,SG161222/Realistic_Vision_V5.1_noVAE,False,5127,False,yes,yes,yes,yes
63,22793,Yanni8@bert-emotions\discussion_1.yaml,https://huggingface.co/Yanni8/bert-emotions/discussions/1,Yanni8/bert-emotions,False,92,False,yes,no,no,no
64,11572,microsoft@phi-2\discussion_93.yaml,https://huggingface.co/microsoft/phi-2/discussions/93,microsoft/phi-2,False,305,False,no,no,no,no
65,12984,NeverSleep@Noromaid-7b-v0.2\discussion_1.yaml,https://huggingface.co/NeverSleep/Noromaid-7b-v0.2/discussions/1,NeverSleep/Noromaid-7b-v0.2,False,151,False,no,no,yes,no
66,5299,digiplay@polla_mix_2.4D\discussion_2.yaml,https://huggingface.co/digiplay/polla_mix_2.4D/discussions/2,digiplay/polla_mix_2.4D,False,130,False,no,no,no,no
67,22369,webui@ControlNet-modules-safetensors\discussion_16.yaml,https://huggingface.co/webui/ControlNet-modules-safetensors/discussions/16,webui/ControlNet-modules-safetensors,False,109,False,yes,yes,yes,yes
68,3799,CompVis@stable-diffusion-v1-4\discussion_26.yaml,https://huggingface.co/CompVis/stable-diffusion-v1-4/discussions/26,CompVis/stable-diffusion-v1-4,False,1402,False,yes,yes,yes,yes
69,6827,flashvenom@Airoboros-13B-SuperHOT-8K-4bit-GPTQ\discussion_2.yaml,https://huggingface.co/flashvenom/Airoboros-13B-SuperHOT-8K-4bit-GPTQ/discussions/2,flashvenom/Airoboros-13B-SuperHOT-8K-4bit-GPTQ,False,206,False,yes,yes,yes,yes
70,2168,bigscience@bloomz\discussion_42.yaml,https://huggingface.co/bigscience/bloomz/discussions/42,bigscience/bloomz,False,283,False,yes,yes,yes,yes
71,20957,tiiuae@falcon-40b-instruct\discussion_87.yaml,https://huggingface.co/tiiuae/falcon-40b-instruct/discussions/87,tiiuae/falcon-40b-instruct,False,1036,False,yes,yes,yes,yes
73,14631,Pclanglais@Brahe\discussion_2.yaml,https://huggingface.co/Pclanglais/Brahe/discussions/2,Pclanglais/Brahe,False,887,False,no,no,no,no
74,19685,TheBloke@SOLAR-10.7B-Instruct-v1.0-GGUF\discussion_3.yaml,https://huggingface.co/TheBloke/SOLAR-10.7B-Instruct-v1.0-GGUF/discussions/3,TheBloke/SOLAR-10.7B-Instruct-v1.0-GGUF,False,2052,False,yes,yes,yes,yes
75,22181,vllab@controlnet-hands\discussion_3.yaml,https://huggingface.co/vllab/controlnet-hands/discussions/3,vllab/controlnet-hands,False,95,False,yes,yes,yes,yes
76,12530,mosaicml@mpt-7b\discussion_67.yaml,https://huggingface.co/mosaicml/mpt-7b/discussions/67,mosaicml/mpt-7b,False,3495,False,yes,yes,yes,yes
77,3117,codellama@CodeLlama-34b-Instruct-hf\discussion_16.yaml,https://huggingface.co/codellama/CodeLlama-34b-Instruct-hf/discussions/16,codellama/CodeLlama-34b-Instruct-hf,False,1383,False,yes,yes,yes,yes
79,2879,Chinese-Vicuna@llama7b_4bit_128g\discussion_3.yaml,https://huggingface.co/Chinese-Vicuna/llama7b_4bit_128g/discussions/3,Chinese-Vicuna/llama7b_4bit_128g,False,104,False,yes,yes,yes,yes
80,11525,microsoft@phi-2\discussion_43.yaml,https://huggingface.co/microsoft/phi-2/discussions/43,microsoft/phi-2,False,713,False,yes,yes,yes,yes
82,14658,PeepDaSlan9@BMO_3.5\discussion_1.yaml,https://huggingface.co/PeepDaSlan9/BMO_3.5/discussions/1,PeepDaSlan9/BMO_3.5,False,71,False,yes,yes,yes,yes
83,6564,facebook@xm_transformer_s2ut_hk-en\discussion_1.yaml,https://huggingface.co/facebook/xm_transformer_s2ut_hk-en/discussions/1,facebook/xm_transformer_s2ut_hk-en,False,7577,False,yes,yes,yes,yes
84,5853,EleutherAI@gpt-neox-20b\discussion_11.yaml,https://huggingface.co/EleutherAI/gpt-neox-20b/discussions/11,EleutherAI/gpt-neox-20b,False,837,False,yes,yes,yes,yes
85,4175,ctheodoris@Geneformer\discussion_223.yaml,https://huggingface.co/ctheodoris/Geneformer/discussions/223,ctheodoris/Geneformer,False,2020,False,no,no,no,no
87,22634,Xenova@multilingual-e5-small\discussion_1.yaml,https://huggingface.co/Xenova/multilingual-e5-small/discussions/1,Xenova/multilingual-e5-small,False,1430,False,no,no,no,no
88,22594,Wolwollu@ChilloutMix\discussion_1.yaml,https://huggingface.co/Wolwollu/ChilloutMix/discussions/1,Wolwollu/ChilloutMix,False,146,False,no,no,no,no
89,17382,stabilityai@stable-diffusion-xl-1.0-tensorrt\discussion_7.yaml,https://huggingface.co/stabilityai/stable-diffusion-xl-1.0-tensorrt/discussions/7,stabilityai/stable-diffusion-xl-1.0-tensorrt,False,6837,False,no,no,no,no
90,9649,kandinsky-community@kandinsky-2-2-prior\discussion_4.yaml,https://huggingface.co/kandinsky-community/kandinsky-2-2-prior/discussions/4,kandinsky-community/kandinsky-2-2-prior,False,128,False,no,no,no,no
91,18959,TheBloke@Llama-2-70B-GGML\discussion_1.yaml,https://huggingface.co/TheBloke/Llama-2-70B-GGML/discussions/1,TheBloke/Llama-2-70B-GGML,False,9772,False,no,no,no,no
92,20086,TheBloke@WizardCoder-15B-1.0-GGML\discussion_8.yaml,https://huggingface.co/TheBloke/WizardCoder-15B-1.0-GGML/discussions/8,TheBloke/WizardCoder-15B-1.0-GGML,False,125,False,yes,yes,yes,yes
93,10023,latent-consistency@lcm-lora-sdxl\discussion_11.yaml,https://huggingface.co/latent-consistency/lcm-lora-sdxl/discussions/11,latent-consistency/lcm-lora-sdxl,False,183,False,yes,yes,yes,yes
94,20801,tiiuae@falcon-180B-chat\discussion_10.yaml,https://huggingface.co/tiiuae/falcon-180B-chat/discussions/10,tiiuae/falcon-180B-chat,False,77,False,yes,yes,yes,yes
95,15540,ridger@SpikeGPT-BookCorpus\discussion_3.yaml,https://huggingface.co/ridger/SpikeGPT-BookCorpus/discussions/3,ridger/SpikeGPT-BookCorpus,False,113,False,yes,yes,yes,yes
96,12957,nev@dalle-mini-pytorch\discussion_1.yaml,https://huggingface.co/nev/dalle-mini-pytorch/discussions/1,nev/dalle-mini-pytorch,False,1518,False,yes,yes,yes,yes
97,20783,tiiuae@falcon-180B\discussion_12.yaml,https://huggingface.co/tiiuae/falcon-180B/discussions/12,tiiuae/falcon-180B,False,608,False,yes,yes,yes,yes
98,20137,TheBloke@WizardLM-1.0-Uncensored-Llama2-13B-GGML\discussion_1.yaml,https://huggingface.co/TheBloke/WizardLM-1.0-Uncensored-Llama2-13B-GGML/discussions/1,TheBloke/WizardLM-1.0-Uncensored-Llama2-13B-GGML,False,353,False,no,no,no,no
99,11100,MBZUAI@LaMini-GPT-1.5B\discussion_10.yaml,https://huggingface.co/MBZUAI/LaMini-GPT-1.5B/discussions/10,MBZUAI/LaMini-GPT-1.5B,False,106,False,yes,yes,yes,yes
100,608,ali-issa@my_awesome_model\discussion_1.yaml,https://huggingface.co/ali-issa/my_awesome_model/discussions/1,ali-issa/my_awesome_model,False,71,False,yes,yes,yes,yes
101,20448,thibaud@controlnet-sd21\discussion_36.yaml,https://huggingface.co/thibaud/controlnet-sd21/discussions/36,thibaud/controlnet-sd21,False,516,False,yes,yes,yes,yes
103,10527,LLukas22@gpt4all-lora-quantized-ggjt\discussion_2.yaml,https://huggingface.co/LLukas22/gpt4all-lora-quantized-ggjt/discussions/2,LLukas22/gpt4all-lora-quantized-ggjt,False,1656,False,yes,yes,yes,yes
104,3692,CompVis@stable-diffusion-v-1-4-original\discussion_95.yaml,https://huggingface.co/CompVis/stable-diffusion-v-1-4-original/discussions/95,CompVis/stable-diffusion-v-1-4-original,False,159,False,yes,yes,yes,yes
105,4685,Davlan@bert-base-multilingual-cased-ner-hrl\discussion_4.yaml,https://huggingface.co/Davlan/bert-base-multilingual-cased-ner-hrl/discussions/4,Davlan/bert-base-multilingual-cased-ner-hrl,False,279,False,yes,yes,yes,yes
106,20743,THUDM@cogvlm-grounding-generalist-hf\discussion_3.yaml,https://huggingface.co/THUDM/cogvlm-grounding-generalist-hf/discussions/3,THUDM/cogvlm-grounding-generalist-hf,False,313,False,yes,yes,yes,yes
107,5248,digiplay@m3u\discussion_6.yaml,https://huggingface.co/digiplay/m3u/discussions/6,digiplay/m3u,False,238,False,no,no,no,no
108,1740,bhenrym14@airoboros-33b-gpt4-1.4.1-PI-8192-GPTQ\discussion_2.yaml,https://huggingface.co/bhenrym14/airoboros-33b-gpt4-1.4.1-PI-8192-GPTQ/discussions/2,bhenrym14/airoboros-33b-gpt4-1.4.1-PI-8192-GPTQ,False,7411,False,yes,yes,yes,yes
109,4860,deepseek-ai@deepseek-coder-33b-instruct\discussion_4.yaml,https://huggingface.co/deepseek-ai/deepseek-coder-33b-instruct/discussions/4,deepseek-ai/deepseek-coder-33b-instruct,False,314,False,yes,yes,yes,yes
110,9447,jondurbin@airoboros-l2-7b-gpt4-1.4.1\discussion_1.yaml,https://huggingface.co/jondurbin/airoboros-l2-7b-gpt4-1.4.1/discussions/1,jondurbin/airoboros-l2-7b-gpt4-1.4.1,False,478,False,yes,yes,yes,yes
111,14003,openai@whisper-large-v2\discussion_76.yaml,https://huggingface.co/openai/whisper-large-v2/discussions/76,openai/whisper-large-v2,False,97,False,no,no,no,no
112,19127,TheBloke@Llamix2-MLewd-4x13B-GPTQ\discussion_2.yaml,https://huggingface.co/TheBloke/Llamix2-MLewd-4x13B-GPTQ/discussions/2,TheBloke/Llamix2-MLewd-4x13B-GPTQ,False,93,False,no,no,no,no
114,9945,laion@CLIP-ViT-H-14-frozen-xlm-roberta-large-laion5B-s13B-b90k\discussion_1.yaml,https://huggingface.co/laion/CLIP-ViT-H-14-frozen-xlm-roberta-large-laion5B-s13B-b90k/discussions/1,laion/CLIP-ViT-H-14-frozen-xlm-roberta-large-laion5B-s13B-b90k,False,596,False,no,no,no,no
115,17883,syaimu@7th_Layer\discussion_5.yaml,https://huggingface.co/syaimu/7th_Layer/discussions/5,syaimu/7th_Layer,False,72,False,yes,yes,yes,yes
117,270,acrastt@Marx-3B-V2\discussion_2.yaml,https://huggingface.co/acrastt/Marx-3B-V2/discussions/2,acrastt/Marx-3B-V2,False,1599,False,no,no,no,no
119,3925,coqui@XTTS-v2\discussion_27.yaml,https://huggingface.co/coqui/XTTS-v2/discussions/27,coqui/XTTS-v2,False,467,False,no,yes,no,no
120,6957,FredZhang7@google-safesearch-mini-v2\discussion_1.yaml,https://huggingface.co/FredZhang7/google-safesearch-mini-v2/discussions/1,FredZhang7/google-safesearch-mini-v2,False,1000,False,no,no,no,no
121,19805,TheBloke@Starcoderplus-Guanaco-GPT4-15B-V1.0-GGML\discussion_2.yaml,https://huggingface.co/TheBloke/Starcoderplus-Guanaco-GPT4-15B-V1.0-GGML/discussions/2,TheBloke/Starcoderplus-Guanaco-GPT4-15B-V1.0-GGML,False,1537,False,no,no,no,no
123,6450,facebook@rag-token-nq\discussion_2.yaml,https://huggingface.co/facebook/rag-token-nq/discussions/2,facebook/rag-token-nq,False,107,False,yes,yes,yes,yes
124,6237,facebook@galactica-30b\discussion_9.yaml,https://huggingface.co/facebook/galactica-30b/discussions/9,facebook/galactica-30b,False,51,False,yes,yes,yes,yes
125,20165,TheBloke@WizardLM-13B-V1.1-GGML\discussion_1.yaml,https://huggingface.co/TheBloke/WizardLM-13B-V1.1-GGML/discussions/1,TheBloke/WizardLM-13B-V1.1-GGML,False,791,False,no,no,no,no
126,22301,WarriorMama777@OrangeMixs\discussion_7.yaml,https://huggingface.co/WarriorMama777/OrangeMixs/discussions/7,WarriorMama777/OrangeMixs,False,1023,False,yes,yes,yes,yes
127,4459,darkstorm2150@Protogen_x5.8_Official_Release\discussion_13.yaml,https://huggingface.co/darkstorm2150/Protogen_x5.8_Official_Release/discussions/13,darkstorm2150/Protogen_x5.8_Official_Release,False,3533,False,no,no,no,no
128,13015,Nexusflow@NexusRaven-V2-13B\discussion_5.yaml,https://huggingface.co/Nexusflow/NexusRaven-V2-13B/discussions/5,Nexusflow/NexusRaven-V2-13B,False,301,False,no,no,no,no
129,19470,TheBloke@Nous-Hermes-Llama2-GGML\discussion_4.yaml,https://huggingface.co/TheBloke/Nous-Hermes-Llama2-GGML/discussions/4,TheBloke/Nous-Hermes-Llama2-GGML,False,310,False,yes,yes,yes,yes
130,9390,jonatasgrosman@wav2vec2-xls-r-1b-english\discussion_2.yaml,https://huggingface.co/jonatasgrosman/wav2vec2-xls-r-1b-english/discussions/2,jonatasgrosman/wav2vec2-xls-r-1b-english,False,665,False,no,yes,yes,yes
131,9451,jondurbin@airocoder-34b-2.1\discussion_1.yaml,https://huggingface.co/jondurbin/airocoder-34b-2.1/discussions/1,jondurbin/airocoder-34b-2.1,False,462,False,yes,yes,no,yes
132,5767,Edresson@wav2vec2-large-xlsr-coraa-portuguese\discussion_1.yaml,https://huggingface.co/Edresson/wav2vec2-large-xlsr-coraa-portuguese/discussions/1,Edresson/wav2vec2-large-xlsr-coraa-portuguese,False,100,False,yes,yes,yes,yes
133,13654,nvidia@segformer-b0-finetuned-ade-512-512\discussion_8.yaml,https://huggingface.co/nvidia/segformer-b0-finetuned-ade-512-512/discussions/8,nvidia/segformer-b0-finetuned-ade-512-512,False,280,False,yes,yes,yes,yes
135,2973,ckpt@midjourney-v4-diffusion\discussion_3.yaml,https://huggingface.co/ckpt/midjourney-v4-diffusion/discussions/3,ckpt/midjourney-v4-diffusion,False,99,False,yes,yes,yes,yes
136,12993,NeverSleep@Noromaid-v0.4-Mixtral-Instruct-8x7b-Zloss\discussion_3.yaml,https://huggingface.co/NeverSleep/Noromaid-v0.4-Mixtral-Instruct-8x7b-Zloss/discussions/3,NeverSleep/Noromaid-v0.4-Mixtral-Instruct-8x7b-Zloss,False,3739,False,no,no,no,no
137,9634,kalpeshk2011@rankgen-t5-xl-pg19\discussion_2.yaml,https://huggingface.co/kalpeshk2011/rankgen-t5-xl-pg19/discussions/2,kalpeshk2011/rankgen-t5-xl-pg19,False,50,False,yes,yes,yes,yes
138,5098,diffusers@stable-diffusion-xl-1.0-inpainting-0.1\discussion_11.yaml,https://huggingface.co/diffusers/stable-diffusion-xl-1.0-inpainting-0.1/discussions/11,diffusers/stable-diffusion-xl-1.0-inpainting-0.1,False,346,False,yes,no,no,no
139,21085,tiiuae@falcon-7b-instruct\discussion_68.yaml,https://huggingface.co/tiiuae/falcon-7b-instruct/discussions/68,tiiuae/falcon-7b-instruct,False,1796,False,no,no,no,no
140,9434,jondurbin@airoboros-l2-70b-2.1\discussion_2.yaml,https://huggingface.co/jondurbin/airoboros-l2-70b-2.1/discussions/2,jondurbin/airoboros-l2-70b-2.1,False,1764,False,yes,yes,yes,yes
141,6837,flax-community@t5-recipe-generation\discussion_2.yaml,https://huggingface.co/flax-community/t5-recipe-generation/discussions/2,flax-community/t5-recipe-generation,False,630,False,yes,yes,yes,yes
142,21695,ugriffo@phixtral-2x2_8-GGUF\discussion_1.yaml,https://huggingface.co/ugriffo/phixtral-2x2_8-GGUF/discussions/1,ugriffo/phixtral-2x2_8-GGUF,False,805,False,yes,yes,yes,yes
